field_id,score,tier,base_yield_corn_bu_ac,fixed_yield_corn_bu_ac,revenue_current_per_ac,revenue_fixed_per_ac,soy_yield_bu_ac,revenue_soy_per_ac,fix_cost_per_ac,payback_years,fix_details
osm-1062497610,99,excellent,190,195,1047,1075,60,780,0,0.0,No action needed
osm-1044624342,97,excellent,189,194,1041,1068,60,780,0,0.0,No action needed
osm-1157777856,97,excellent,189,194,1041,1068,60,780,0,0.0,No action needed
osm-984977162,92,excellent,186,191,1024,1052,60,780,0,0.0,No action needed
osm-1062497604,88,excellent,184,189,1011,1038,60,780,0,0.0,No action needed
osm-1062497609,71,good,174,179,955,982,60,780,0,0.0,Soil Quality: 71/100 (Good) | Drainage: Moderately well drained
osm-746833241,63,watch,169,194,928,1066,60,774,130,0.9,Soil Quality: 63/100 (Watch) | Drainage: Somewhat poorly drained | Apply ag lime to raise subsoil pH | Install surface/mole drains
osm-1333868303,49,critical,160,185,882,1020,56,728,200,1.5,Soil Quality: 49/100 (Critical) | Drainage: Poorly drained | Apply ag lime to raise subsoil pH | Plant cover crop to build organic matter | Deep tillage or strip-till to reduce compaction | Install surface/mole drains
osm-984977148,46,critical,159,184,872,1010,55,718,200,1.5,Soil Quality: 46/100 (Critical) | Drainage: Somewhat poorly drained | Apply ag lime to raise subsoil pH | Plant cover crop to build organic matter | Deep tillage or strip-till to reduce compaction | Install surface/mole drains
